Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.465272,642.439051,339.94,0.000000000,0.000841436,4.0001,0.018795,-4.0001,-4.0001,-4.0001,4.3035,6.440580,626.770452,-4.0001,0.000000,0.00,0.00
1,COUNT_DOWN,6.458020,637.797102,352.70,0.000000000,0.000832156,4.0002,0.019138,-4.0002,-4.0002,-4.0002,4.3034,6.446486,630.482576,-4.0002,0.000000,0.00,0.00
2,COUNT_DOWN,6.486437,656.181117,355.28,0.000000000,0.000829687,4.0003,0.023624,-4.0003,-4.0003,-4.0003,4.3034,6.463640,641.391614,-4.0003,0.000000,0.00,0.00
3,COUNT_DOWN,6.476850,649.920490,355.29,0.000000000,0.000820789,4.0004,0.020419,-4.0004,-4.0004,-4.0004,4.3033,6.462607,640.729203,-4.0004,0.000000,0.00,0.00
4,COUNT_DOWN,6.439137,625.866134,355.64,0.000000000,0.000826633,4.0005,0.027584,-4.0005,-4.0005,-4.0005,4.3033,6.463733,641.450950,-4.0005,0.000000,0.00,0.00
5,COUNT_DOWN,6.481648,653.046260,355.62,0.000000000,0.000819796,4.0006,0.023730,-4.0006,-4.0006,-4.0006,4.3033,6.452965,634.581204,-4.0006,0.000000,0.00,0.00
6,COUNT_DOWN,6.473448,647.713067,355.66,0.000000000,0.000816161,4.0007,0.027518,-4.0007,-4.0007,-4.0007,4.3032,6.446418,630.440187,-4.0007,0.000000,0.00,0.00
7,COUNT_DOWN,6.485177,655.354978,355.65,0.000000000,0.000813446,4.0008,0.027186,-4.0008,-4.0008,-4.0008,4.3032,6.460322,639.267110,-4.0008,0.000000,0.00,0.00
8,COUNT_DOWN,6.456665,636.933363,355.68,0.000000000,0.000810093,4.0009,0.027982,-4.0009,-4.0009,-4.0009,4.3032,6.458564,638.144203,-4.0009,0.000000,0.00,0.00
9,COUNT_DOWN,6.486652,656.322559,355.68,0.000000000,0.000809212,4.0010,0.031435,-4.0010,-4.0010,-4.0010,4.3032,6.458376,638.024020,-4.0010,0.000000,0.00,0.00
