Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max
0,COUNT_UP,6.318628,554.811177,360.92,0.000000000,0.000000000,0.0000,0.545360,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
1,COUNT_UP,6.225955,505.705766,361.05,0.000000000,0.000000000,0.0000,0.493936,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
2,COUNT_UP,6.163333,475.008841,361.04,0.000000000,0.000000000,0.0000,0.552544,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
3,COUNT_UP,6.092410,442.486347,361.05,0.000000000,0.000000000,0.0000,0.519733,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
4,COUNT_UP,5.901340,365.527123,361.04,0.000000000,0.000000000,0.0000,0.549177,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
5,COUNT_UP,5.905894,367.195279,361.05,0.000000000,0.000000000,0.0000,0.480584,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
6,COUNT_UP,5.755481,315.917544,361.04,0.000000000,0.000000000,0.0000,0.552863,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
7,COUNT_UP,5.721806,305.455948,361.05,0.000000000,0.000000000,0.0000,0.514598,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
8,COUNT_UP,5.652235,284.927577,361.04,0.000000000,0.000000000,0.0000,0.502075,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
9,COUNT_UP,5.534308,253.232600,361.05,0.000000000,0.000000000,0.0000,0.560098,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
10,COUNT_UP,5.510320,247.230156,361.04,0.000000000,0.000000000,0.0000,0.534001,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
11,COUNT_UP,5.350483,210.710034,361.05,0.000000000,0.000000000,0.0000,0.558468,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
12,COUNT_UP,5.267112,193.855256,361.04,0.000000000,0.000000000,0.0000,0.495883,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
13,COUNT_UP,5.198477,180.996337,361.05,0.000000000,0.000000000,0.0000,0.528038,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
14,COUNT_UP,5.043969,155.084349,361.04,0.000000000,0.000000000,0.0000,0.523265,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
15,COUNT_UP,5.010385,149.962395,361.05,0.000000000,0.000000000,0.0000,0.562142,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
16,COUNT_UP,5.001245,148.598123,361.04,0.000000000,0.000000000,0.0000,0.556151,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
17,COUNT_UP,4.857762,128.735812,361.05,0.000000000,0.000000000,0.0000,0.526773,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
18,COUNT_UP,4.682393,108.028232,361.04,0.000000000,0.000000000,0.0000,0.581217,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
19,COUNT_UP,4.616114,101.100406,361.05,0.000000000,0.000000000,0.0000,0.545103,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
20,COUNT_UP,4.580328,97.546336,361.04,0.000000000,0.000000000,0.0000,0.552591,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
21,COUNT_UP,4.428494,83.805149,361.05,0.000000000,0.000000000,0.0000,0.619965,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
22,COUNT_UP,4.367647,78.857837,361.04,0.000000000,0.000000000,0.0000,0.624417,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
23,COUNT_UP,4.231719,68.835493,361.05,0.000000000,0.000000000,0.0000,0.566918,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
