Timestamp,Step,Event,Details
2025-12-14T00:52:43.087643,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T00:52:43.091001,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T00:53:11.533797,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.000699436932336539, ""final_ppl"": 1.0006996815953866, ""duration_sec"": 28.44016671180725}"
2025-12-14T00:54:40.114613,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 3.686164617538452, ""final_ppl"": 39.89155381042867, ""duration_sec"": 88.5561454296112}"
2025-12-14T00:54:40.153072,1000,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_005243"", ""snapshot"": ""dge_val_0_3_1_lambda_0_2""}"
