Timestamp,Step,Event,Details
2025-12-14T00:40:29.303744,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T00:40:29.305992,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T00:40:46.106837,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007332873065024614, ""final_ppl"": 1.0007335562273674, ""duration_sec"": 16.7995343208313}"
2025-12-14T00:41:53.557239,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 1.6100126504898071, ""final_ppl"": 5.002874516246346, ""duration_sec"": 67.42657232284546}"
2025-12-14T00:41:53.603721,1000,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_004027"", ""snapshot"": ""dge_val_0_3_0_mlp""}"
