Timestamp,Step,Event,Details
2025-12-14T01:19:35.809849,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T01:19:35.812444,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T01:20:02.278780,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0006764287827536464, ""final_ppl"": 1.0006766576122954, ""duration_sec"": 26.46457552909851}"
2025-12-14T01:22:15.491765,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 0.301436185836792, ""final_ppl"": 1.351798848473277, ""duration_sec"": 133.1650550365448}"
2025-12-14T01:22:15.544982,500,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_011935"", ""snapshot"": ""dge_exp_v3_h3_ortho""}"
