Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max
0,COUNT_UP,6.408953,607.257665,361.11,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
1,COUNT_UP,6.251894,518.995117,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
2,COUNT_UP,6.216451,500.922385,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
3,COUNT_UP,6.118334,454.107438,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
4,COUNT_UP,6.006801,406.181722,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
5,COUNT_UP,5.949654,383.620623,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
6,COUNT_UP,5.891848,362.073810,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
7,COUNT_UP,5.767614,319.773805,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
8,COUNT_UP,5.677867,292.325355,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
9,COUNT_UP,5.584011,266.136837,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
10,COUNT_UP,5.473668,238.332706,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
11,COUNT_UP,5.361362,213.014769,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
12,COUNT_UP,5.303317,201.002445,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
13,COUNT_UP,5.233270,187.404647,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
14,COUNT_UP,5.150782,172.566321,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
15,COUNT_UP,5.008359,149.658938,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
16,COUNT_UP,4.962546,142.957352,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
17,COUNT_UP,4.841222,126.623968,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
18,COUNT_UP,4.742247,114.691636,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
19,COUNT_UP,4.677319,107.481533,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
20,COUNT_UP,4.542706,93.944717,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
21,COUNT_UP,4.483396,88.534832,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
22,COUNT_UP,4.358016,78.101990,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
23,COUNT_UP,4.299890,73.691655,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
24,COUNT_UP,4.170635,64.756574,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
25,COUNT_UP,4.027305,56.109499,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
26,COUNT_UP,3.877665,48.311279,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
27,COUNT_UP,3.825949,45.876336,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
28,COUNT_UP,3.785545,44.059660,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
29,COUNT_UP,3.637531,37.997887,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
30,COUNT_UP,3.298157,27.062709,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
31,COUNT_UP,3.305228,27.254742,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
32,COUNT_UP,3.264550,26.168326,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
33,COUNT_UP,3.005942,20.205247,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
34,COUNT_UP,2.895603,18.094404,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
35,COUNT_UP,2.808559,16.586007,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
36,COUNT_UP,2.584091,13.251238,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
37,COUNT_UP,2.551167,12.822055,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
38,COUNT_UP,2.252964,9.515902,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
39,COUNT_UP,2.234544,9.342217,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
40,COUNT_UP,1.914859,6.785985,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
41,COUNT_UP,1.830365,6.236161,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
42,COUNT_UP,1.630818,5.108052,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
43,COUNT_UP,1.523814,4.589698,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
44,COUNT_UP,1.540851,4.668564,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
45,COUNT_UP,1.296979,3.658227,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
46,COUNT_UP,1.241305,3.460127,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
47,COUNT_UP,0.970206,2.638489,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
48,COUNT_UP,0.862604,2.369322,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
49,COUNT_UP,0.877358,2.404538,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
50,COUNT_UP,0.644467,1.904970,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
51,COUNT_UP,0.615780,1.851100,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
52,COUNT_UP,0.572750,1.773136,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
53,COUNT_UP,0.419982,1.521934,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
54,COUNT_UP,0.339429,1.404145,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
55,COUNT_UP,0.335221,1.398249,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
56,COUNT_UP,0.274613,1.316021,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
57,COUNT_UP,0.259569,1.296372,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
58,COUNT_UP,0.230061,1.258677,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
59,COUNT_UP,0.170061,1.185377,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
60,COUNT_UP,0.129938,1.138758,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
61,COUNT_UP,0.138671,1.148747,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
62,COUNT_UP,0.123291,1.131213,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
63,COUNT_UP,0.082497,1.085995,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
64,COUNT_UP,0.067324,1.069642,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
65,COUNT_UP,0.118694,1.126025,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
66,COUNT_UP,0.047458,1.048602,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
67,COUNT_UP,0.038253,1.038994,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
68,COUNT_UP,0.053655,1.055120,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
69,COUNT_UP,0.033752,1.034328,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
70,COUNT_UP,0.031639,1.032144,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
71,COUNT_UP,0.037475,1.038187,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
72,COUNT_UP,0.029650,1.030094,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
73,COUNT_UP,0.027460,1.027840,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
74,COUNT_UP,0.054907,1.056442,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
75,COUNT_UP,0.041929,1.042820,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
76,COUNT_UP,0.022987,1.023253,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
77,COUNT_UP,0.017651,1.017808,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
78,COUNT_UP,0.018018,1.018182,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
79,COUNT_UP,0.034325,1.034921,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
80,COUNT_UP,0.015901,1.016028,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
81,COUNT_UP,0.021602,1.021837,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
82,COUNT_UP,0.014511,1.014617,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
83,COUNT_UP,0.040594,1.041429,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
84,COUNT_UP,0.013040,1.013125,361.22,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
85,COUNT_UP,0.034576,1.035180,361.23,0.000000000,0.000000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
