Timestamp,Step,Event,Details
2025-12-14T00:50:27.459347,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T00:50:27.461659,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T00:50:54.877177,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0006933410186320543, ""final_ppl"": 1.0006935814350764, ""duration_sec"": 27.413925647735596}"
2025-12-14T00:52:43.022109,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 2.2500717639923096, ""final_ppl"": 9.48841673859196, ""duration_sec"": 108.1084496974945}"
2025-12-14T00:52:43.076434,1000,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_005024"", ""snapshot"": ""dge_val_0_3_0_mlp""}"
