Timestamp,Step,Event,Details
2025-12-14T00:38:51.727912,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T00:38:51.730524,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T00:39:08.098528,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007171683246269822, ""final_ppl"": 1.0007174255513178, ""duration_sec"": 16.366637706756592}"
