Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.482826,653.815863,339.27,0.000000000,0.000854308,4.0001,0.020319,-4.0001,-4.0001,-4.0001,4.3007,6.509442,671.451544,-4.0001,0.000000,0.00,0.00
1,COUNT_DOWN,6.493983,661.151355,351.35,0.000000000,0.000849801,4.0002,0.021535,-4.0002,-4.0002,-4.0002,4.3007,6.489635,658.283354,-4.0002,0.000000,0.00,0.00
2,COUNT_DOWN,6.505510,668.816900,353.91,0.000000000,0.000845825,4.0003,0.019340,-4.0003,-4.0003,-4.0003,4.3007,6.490378,658.772268,-4.0003,0.000000,0.00,0.00
3,COUNT_DOWN,6.521489,679.589639,353.87,0.000000000,0.000843651,4.0004,0.021673,-4.0004,-4.0004,-4.0004,4.3006,6.537858,690.805623,-4.0004,0.000000,0.00,0.00
4,COUNT_DOWN,6.474849,648.621114,354.21,0.000000000,0.000836760,4.0005,0.021126,-4.0005,-4.0005,-4.0005,4.3006,6.485269,655.415293,-4.0005,0.000000,0.00,0.00
5,COUNT_DOWN,6.496534,662.840473,354.18,0.000000000,0.000836209,4.0006,0.027367,-4.0006,-4.0006,-4.0006,4.3006,6.458696,638.228193,-4.0006,0.000000,0.00,0.00
6,COUNT_DOWN,6.482960,653.903786,354.22,0.000000000,0.000836343,4.0007,0.028148,-4.0007,-4.0007,-4.0007,4.3006,6.474095,648.132317,-4.0007,0.000000,0.00,0.00
7,COUNT_DOWN,6.510565,672.206296,354.19,0.000000000,0.000834388,4.0008,0.032209,-4.0008,-4.0008,-4.0008,4.3006,6.488693,657.663078,-4.0008,0.000000,0.00,0.00
8,COUNT_DOWN,6.514959,675.166506,354.23,0.000000000,0.000831800,4.0009,0.030485,-4.0009,-4.0009,-4.0009,4.3006,6.502352,666.707728,-4.0009,0.000000,0.00,0.00
9,COUNT_DOWN,6.486456,656.193633,354.19,0.000000000,0.000836037,4.0010,0.036500,-4.0010,-4.0010,-4.0010,4.3006,6.516222,676.019231,-4.0010,0.000000,0.00,0.00
