Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max
0,COUNT_UP,6.409608,607.655655,360.39,0.000000000,0.000000000,0.0000,0.519176,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
1,COUNT_UP,6.349839,572.400393,360.52,0.000000000,0.000000000,0.0000,0.514079,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
2,COUNT_UP,6.248676,517.327338,360.51,0.000000000,0.000000000,0.0000,0.540080,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
3,COUNT_UP,6.146809,467.223918,360.52,0.000000000,0.000000000,0.0000,0.514251,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
4,COUNT_UP,6.065196,430.606879,360.51,0.000000000,0.000000000,0.0000,0.507482,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
5,COUNT_UP,5.951117,384.182063,360.52,0.000000000,0.000000000,0.0000,0.564721,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
6,COUNT_UP,5.852644,348.153837,360.51,0.000000000,0.000000000,0.0000,0.504270,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
7,COUNT_UP,5.815342,335.406071,360.52,0.000000000,0.000000000,0.0000,0.498269,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
8,COUNT_UP,5.712345,302.579824,360.51,0.000000000,0.000000000,0.0000,0.532904,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
9,COUNT_UP,5.629925,278.641289,360.52,0.000000000,0.000000000,0.0000,0.561453,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
10,COUNT_UP,5.499577,244.588344,360.51,0.000000000,0.000000000,0.0000,0.553236,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
11,COUNT_UP,5.447187,232.104436,360.52,0.000000000,0.000000000,0.0000,0.563209,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
12,COUNT_UP,5.323021,205.002344,360.51,0.000000000,0.000000000,0.0000,0.526600,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
13,COUNT_UP,5.238885,188.459839,360.52,0.000000000,0.000000000,0.0000,0.573282,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
14,COUNT_UP,5.142107,171.075847,360.51,0.000000000,0.000000000,0.0000,0.544433,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
15,COUNT_UP,5.150417,172.503384,360.52,0.000000000,0.000000000,0.0000,0.604021,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
16,COUNT_UP,5.005540,149.237705,360.51,0.000000000,0.000000000,0.0000,0.581655,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
17,COUNT_UP,4.893865,133.468448,360.52,0.000000000,0.000000000,0.0000,0.581146,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
18,COUNT_UP,4.797868,121.251606,360.51,0.000000000,0.000000000,0.0000,0.524576,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
19,COUNT_UP,4.765436,117.382249,360.52,0.000000000,0.000000000,0.0000,0.578918,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
20,COUNT_UP,4.551286,94.754160,360.51,0.000000000,0.000000000,0.0000,0.619635,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
21,COUNT_UP,4.524930,92.289421,360.52,0.000000000,0.000000000,0.0000,0.566275,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
22,COUNT_UP,4.415470,82.720721,360.51,0.000000000,0.000000000,0.0000,0.584667,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
23,COUNT_UP,4.320406,75.219194,360.52,0.000000000,0.000000000,0.0000,0.587436,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
24,COUNT_UP,4.230320,68.739256,360.51,0.000000000,0.000000000,0.0000,0.592342,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
25,COUNT_UP,4.094283,59.996313,360.52,0.000000000,0.000000000,0.0000,0.609423,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
26,COUNT_UP,4.152394,63.586032,360.51,0.000000000,0.000000000,0.0000,0.670144,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
27,COUNT_UP,3.844935,46.755642,360.52,0.000000000,0.000000000,0.0000,0.632212,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
28,COUNT_UP,3.825553,45.858161,360.51,0.000000000,0.000000000,0.0000,0.755047,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
29,COUNT_UP,3.601810,36.664545,360.52,0.000000000,0.000000000,0.0000,0.669106,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
30,COUNT_UP,3.588259,36.171064,360.51,0.000000000,0.000000000,0.0000,0.711646,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
31,COUNT_UP,3.364846,28.929042,360.52,0.000000000,0.000000000,0.0000,0.726635,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
32,COUNT_UP,3.145735,23.236754,360.51,0.000000000,0.000000000,0.0000,0.703562,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
33,COUNT_UP,3.017583,20.441827,360.52,0.000000000,0.000000000,0.0000,0.705011,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
34,COUNT_UP,3.002105,20.127866,360.51,0.000000000,0.000000000,0.0000,0.757535,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
35,COUNT_UP,2.709888,15.027592,360.52,0.000000000,0.000000000,0.0000,0.693138,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
36,COUNT_UP,2.580307,13.201187,360.51,0.000000000,0.000000000,0.0000,0.714280,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
37,COUNT_UP,2.538111,12.655741,360.52,0.000000000,0.000000000,0.0000,0.710614,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
38,COUNT_UP,2.293875,9.913279,360.51,0.000000000,0.000000000,0.0000,0.802307,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
39,COUNT_UP,2.204346,9.064321,360.52,0.000000000,0.000000000,0.0000,0.713165,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
40,COUNT_UP,2.031397,7.624728,360.51,0.000000000,0.000000000,0.0000,0.737948,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
41,COUNT_UP,1.884560,6.583455,360.52,0.000000000,0.000000000,0.0000,0.739053,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
42,COUNT_UP,1.680425,5.367837,360.51,0.000000000,0.000000000,0.0000,0.766323,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
43,COUNT_UP,1.497584,4.470873,360.52,0.000000000,0.000000000,0.0000,0.733936,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
44,COUNT_UP,1.457893,4.296898,360.51,0.000000000,0.000000000,0.0000,0.728763,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
45,COUNT_UP,1.270432,3.562392,360.52,0.000000000,0.000000000,0.0000,0.647685,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
46,COUNT_UP,1.138924,3.123406,360.51,0.000000000,0.000000000,0.0000,0.692268,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
