Timestamp,Step,Event,Details
2025-12-14T01:24:07.329508,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T01:24:07.332196,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T01:24:34.028781,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007321175653487444, ""final_ppl"": 1.0007323856288275, ""duration_sec"": 26.695013761520386}"
2025-12-14T01:26:29.902689,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 0.2316463589668274, ""final_ppl"": 1.2606738239942425, ""duration_sec"": 115.83840465545654}"
2025-12-14T01:26:29.969694,500,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_012407"", ""snapshot"": ""dge_exp_v3_h3_ortho""}"
