Timestamp,Step,Event,Details
2025-12-14T01:16:52.709877,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T01:16:52.712928,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T01:17:17.702265,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007149067241698503, ""final_ppl"": 1.00071516233089, ""duration_sec"": 24.931408643722534}"
2025-12-14T01:19:35.754537,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 0.27038905024528503, ""final_ppl"": 1.3104741918751484, ""duration_sec"": 137.98975586891174}"
2025-12-14T01:19:35.800568,500,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_011649"", ""snapshot"": ""dge_exp_v3_h2_rescue""}"
