Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.454309,635.434481,339.54,0.000000000,0.000834075,4.0001,0.024626,-4.0001,-4.0001,-4.0001,4.3029,6.489320,658.075903,-4.0001,0.000328,3046.05,3101.51
1,COUNT_DOWN,6.451455,633.623618,351.66,0.000000000,0.000826529,4.0002,0.020855,-4.0002,-4.0002,-4.0002,4.3029,6.476304,649.565745,-4.0002,0.000328,3053.90,3111.25
2,COUNT_DOWN,6.435898,623.842434,354.23,0.000000000,0.000823032,4.0003,0.020520,-4.0003,-4.0003,-4.0003,4.3029,6.462924,640.932408,-4.0003,0.000327,3061.14,3122.16
3,COUNT_DOWN,6.461894,640.272302,354.19,0.000000000,0.000818036,4.0004,0.022457,-4.0004,-4.0004,-4.0004,4.3029,6.446605,630.558040,-4.0004,0.000326,3070.24,3132.15
4,COUNT_DOWN,6.495343,662.051408,354.55,0.000000000,0.000817348,4.0005,0.024402,-4.0005,-4.0005,-4.0005,4.3029,6.485325,655.452172,-4.0005,0.000325,3079.25,3142.81
5,COUNT_DOWN,6.483700,654.387887,354.50,0.000000000,0.000815212,4.0006,0.028864,-4.0006,-4.0006,-4.0006,4.3029,6.468406,644.455775,-4.0006,0.000324,3088.24,3152.21
6,COUNT_DOWN,6.419590,613.751130,354.36,0.000000000,0.000812967,4.0007,0.028193,-4.0007,-4.0007,-4.0007,4.3029,6.471069,646.174027,-4.0007,0.000323,3094.52,3161.63
7,COUNT_DOWN,6.408165,606.778916,354.51,0.000000000,0.000816812,4.0008,0.026472,-4.0008,-4.0008,-4.0008,4.3029,6.489625,658.276134,-4.0008,0.000322,3101.50,3171.61
8,COUNT_DOWN,6.433294,622.220057,354.55,0.000000000,0.000810755,4.0009,0.031325,-4.0009,-4.0009,-4.0009,4.3029,6.486463,656.198326,-4.0009,0.000322,3110.89,3182.87
9,COUNT_DOWN,6.420893,614.551489,354.51,0.000000000,0.000813651,4.0010,0.033387,-4.0010,-4.0010,-4.0010,4.3030,6.480265,652.143522,-4.0010,0.000321,3118.21,3193.04
