Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max
0,COUNT_UP,6.446030,630.195532,369.95,0.000000000,0.000000000,0.0000,0.553061,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
1,COUNT_UP,6.316604,553.689543,369.95,0.000000000,0.000000000,0.0000,0.562581,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
2,COUNT_UP,6.246076,515.983934,369.94,0.000000000,0.000000000,0.0000,0.509188,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
3,COUNT_UP,6.172557,479.410562,369.95,0.000000000,0.000000000,0.0000,0.517056,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
4,COUNT_UP,6.060744,428.694389,369.94,0.000000000,0.000000000,0.0000,0.494874,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
5,COUNT_UP,5.989056,399.037594,369.95,0.000000000,0.000000000,0.0000,0.491742,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
6,COUNT_UP,5.907072,367.628012,369.94,0.000000000,0.000000000,0.0000,0.564964,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
7,COUNT_UP,5.795621,328.856313,369.95,0.000000000,0.000000000,0.0000,0.507196,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
8,COUNT_UP,5.701666,299.365693,369.94,0.000000000,0.000000000,0.0000,0.541783,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
9,COUNT_UP,5.639875,281.427520,369.95,0.000000000,0.000000000,0.0000,0.519914,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
10,COUNT_UP,5.525757,251.076290,369.94,0.000000000,0.000000000,0.0000,0.517804,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
11,COUNT_UP,5.497173,244.001241,369.95,0.000000000,0.000000000,0.0000,0.496270,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
12,COUNT_UP,5.466680,236.673031,369.94,0.000000000,0.000000000,0.0000,0.539611,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
13,COUNT_UP,5.243585,189.347629,369.95,0.000000000,0.000000000,0.0000,0.563540,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
14,COUNT_UP,5.187392,179.001065,369.94,0.000000000,0.000000000,0.0000,0.534527,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
15,COUNT_UP,5.111982,165.999017,369.95,0.000000000,0.000000000,0.0000,0.481859,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
16,COUNT_UP,5.040545,154.554296,369.94,0.000000000,0.000000000,0.0000,0.551630,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
17,COUNT_UP,4.914330,136.227942,369.95,0.000000000,0.000000000,0.0000,0.579596,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
18,COUNT_UP,4.835814,125.941117,369.94,0.000000000,0.000000000,0.0000,0.567398,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
19,COUNT_UP,4.805485,122.178764,369.95,0.000000000,0.000000000,0.0000,0.567131,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
20,COUNT_UP,4.688599,108.700743,369.94,0.000000000,0.000000000,0.0000,0.546229,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
21,COUNT_UP,4.514180,91.302640,369.95,0.000000000,0.000000000,0.0000,0.548141,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
22,COUNT_UP,4.447915,85.448604,369.94,0.000000000,0.000000000,0.0000,0.592441,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
23,COUNT_UP,4.406743,82.001913,369.95,0.000000000,0.000000000,0.0000,0.611045,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
24,COUNT_UP,4.236677,69.177571,369.94,0.000000000,0.000000000,0.0000,0.622346,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
25,COUNT_UP,4.091118,59.806710,369.95,0.000000000,0.000000000,0.0000,0.596509,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
26,COUNT_UP,4.061024,58.033718,369.94,0.000000000,0.000000000,0.0000,0.647397,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000
