Timestamp,Step,Event,Details
2025-12-14T01:36:25.125408,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T01:36:25.128332,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T01:36:48.603334,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007560086669400334, ""final_ppl"": 1.000756294513522, ""duration_sec"": 23.473474264144897}"
2025-12-14T01:38:54.703576,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 6.903286933898926, ""final_ppl"": 995.5416231180322, ""duration_sec"": 126.06781315803528}"
2025-12-14T01:38:54.758133,500,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_013625"", ""snapshot"": ""dge_exp_v3_h4_iso""}"
