Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_UP,6.433284,622.214123,287.76,0.000000000,0.000000000,0.0000,0.523523,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
1,COUNT_UP,6.330851,561.634117,293.29,0.000000000,0.000000000,0.0000,0.540293,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
2,COUNT_UP,6.248321,517.143840,293.58,0.000000000,0.000000000,0.0000,0.547431,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
3,COUNT_UP,6.137742,463.006940,293.60,0.000000000,0.000000000,0.0000,0.519294,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
4,COUNT_UP,6.082401,438.079674,293.58,0.000000000,0.000000000,0.0000,0.506806,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
5,COUNT_UP,5.966406,390.101074,293.60,0.000000000,0.000000000,0.0000,0.531125,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
6,COUNT_UP,5.893741,362.759881,293.59,0.000000000,0.000000000,0.0000,0.553348,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
7,COUNT_UP,5.770900,320.826427,293.60,0.000000000,0.000000000,0.0000,0.536930,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
8,COUNT_UP,5.738434,310.577763,293.59,0.000000000,0.000000000,0.0000,0.585597,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
9,COUNT_UP,5.633408,279.613438,293.60,0.000000000,0.000000000,0.0000,0.520817,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
10,COUNT_UP,5.581876,265.569294,293.59,0.000000000,0.000000000,0.0000,0.578932,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
