Timestamp,Step,Event,Details
2025-12-14T00:43:08.346064,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T00:43:08.349264,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T00:43:25.685307,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007318719872273505, ""final_ppl"": 1.0007321398708784, ""duration_sec"": 17.334097623825073}"
2025-12-14T00:44:23.395660,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 4.128124237060547, ""final_ppl"": 62.061401209000024, ""duration_sec"": 57.68831133842468}"
2025-12-14T00:44:23.432401,1000,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_004308"", ""snapshot"": ""dge_val_0_3_2_low_lr""}"
