Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.423865,616.380730,340.20,0.000000000,0.000818149,4.0001,0.019628,-4.0001,-4.0001,-4.0001,4.3228,6.482639,653.693974,-4.0001,0.000000,0.00,0.00
1,COUNT_DOWN,6.424828,616.974427,352.37,0.000000000,0.000815840,4.0002,0.020421,-4.0002,-4.0002,-4.0002,4.3228,6.432608,621.793255,-4.0002,0.000000,0.00,0.00
2,COUNT_DOWN,6.444937,629.506861,354.94,0.000000000,0.000811672,4.0003,0.019937,-4.0003,-4.0003,-4.0003,4.3228,6.458187,637.903250,-4.0003,0.000000,0.00,0.00
3,COUNT_DOWN,6.420321,614.200526,354.94,0.000000000,0.000811201,4.0004,0.025325,-4.0004,-4.0004,-4.0004,4.3229,6.478196,650.795945,-4.0004,0.000000,0.00,0.00
4,COUNT_DOWN,6.431750,621.260387,355.27,0.000000000,0.000807558,4.0005,0.022483,-4.0005,-4.0005,-4.0005,4.3229,6.472663,647.205201,-4.0005,0.000000,0.00,0.00
5,COUNT_DOWN,6.411956,609.084074,355.26,0.000000000,0.000807213,4.0006,0.025669,-4.0006,-4.0006,-4.0006,4.3229,6.445986,630.167887,-4.0006,0.000000,0.00,0.00
6,COUNT_DOWN,6.418085,612.828191,355.28,0.000000000,0.000806116,4.0007,0.024350,-4.0007,-4.0007,-4.0007,4.3230,6.470532,645.827485,-4.0007,0.000000,0.00,0.00
7,COUNT_DOWN,6.434059,622.696142,355.27,0.000000000,0.000809503,4.0008,0.034471,-4.0008,-4.0008,-4.0008,4.3231,6.459124,638.501236,-4.0008,0.000000,0.00,0.00
8,COUNT_DOWN,6.427547,618.654807,355.29,0.000000000,0.000806942,4.0009,0.036129,-4.0009,-4.0009,-4.0009,4.3231,6.496244,662.648016,-4.0009,0.000000,0.00,0.00
9,COUNT_DOWN,6.453591,634.978631,355.27,0.000000000,0.000808657,4.0010,0.035210,-4.0010,-4.0010,-4.0010,4.3232,6.440464,626.697532,-4.0010,0.000000,0.00,0.00
