Timestamp,Step,Event,Details
2025-12-14T01:10:20.676601,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T01:10:20.680568,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T01:10:45.637591,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0007735625840723515, ""final_ppl"": 1.0007738618607729, ""duration_sec"": 24.954966068267822}"
2025-12-14T01:13:15.710366,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 0.22692275047302246, ""final_ppl"": 1.254732936670539, ""duration_sec"": 150.02788090705872}"
2025-12-14T01:13:15.764480,500,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_011016"", ""snapshot"": ""dge_exp_v3_h2_rescue""}"
