Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.458846,638.323760,340.58,0.000000000,0.000824659,4.0001,0.020234,-4.0001,-4.0001,-4.0001,4.3279,6.463073,641.028074,-4.0001,0.000000,0.00,0.00
1,COUNT_DOWN,6.439403,626.032684,353.10,0.000000000,0.000816971,4.0002,0.024233,-4.0002,-4.0002,-4.0002,4.3278,6.454995,635.870342,-4.0002,0.000000,0.00,0.00
2,COUNT_DOWN,6.411640,608.891256,355.66,0.000000000,0.000812063,4.0003,0.020588,-4.0003,-4.0003,-4.0003,4.3278,6.456791,637.013548,-4.0003,0.000000,0.00,0.00
3,COUNT_DOWN,6.409104,607.349463,355.66,0.000000000,0.000812326,4.0004,0.022442,-4.0004,-4.0004,-4.0004,4.3277,6.418726,613.221645,-4.0004,0.000000,0.00,0.00
4,COUNT_DOWN,6.418266,612.939537,356.02,0.000000000,0.000803693,4.0005,0.021775,-4.0005,-4.0005,-4.0005,4.3277,6.463217,641.120086,-4.0005,0.000000,0.00,0.00
5,COUNT_DOWN,6.396910,599.988321,355.99,0.000000000,0.000802579,4.0006,0.023647,-4.0006,-4.0006,-4.0006,4.3276,6.418250,612.929600,-4.0006,0.000000,0.00,0.00
6,COUNT_DOWN,6.401787,602.921666,356.03,0.000000000,0.000800403,4.0007,0.023738,-4.0007,-4.0007,-4.0007,4.3276,6.461393,639.952117,-4.0007,0.000000,0.00,0.00
7,COUNT_DOWN,6.461068,639.744036,356.00,0.000000000,0.000802250,4.0008,0.035364,-4.0008,-4.0008,-4.0008,4.3276,6.453880,635.162143,-4.0008,0.000000,0.00,0.00
8,COUNT_DOWN,6.419122,613.464098,356.04,0.000000000,0.000797522,4.0009,0.022890,-4.0009,-4.0009,-4.0009,4.3276,6.438213,625.288628,-4.0009,0.000000,0.00,0.00
9,COUNT_DOWN,6.403029,603.670769,356.00,0.000000000,0.000795176,4.0010,0.030180,-4.0010,-4.0010,-4.0010,4.3276,6.463651,641.398649,-4.0010,0.000000,0.00,0.00
