Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_DOWN,6.477262,650.188304,339.55,0.000000000,0.000839006,4.0001,0.020877,-4.0001,-4.0001,-4.0001,4.3193,6.436595,624.277489,-4.0001,0.000000,0.00,0.00
1,COUNT_DOWN,6.478175,650.781980,352.18,0.000000000,0.000828542,4.0002,0.021882,-4.0002,-4.0002,-4.0002,4.3193,6.470053,645.518065,-4.0002,0.000000,0.00,0.00
2,COUNT_DOWN,6.455872,636.428487,354.74,0.000000000,0.000830553,4.0003,0.027631,-4.0003,-4.0003,-4.0003,4.3192,6.424622,616.847641,-4.0003,0.000000,0.00,0.00
3,COUNT_DOWN,6.505142,668.570423,354.72,0.000000000,0.000825534,4.0004,0.028088,-4.0004,-4.0004,-4.0004,4.3192,6.444205,629.046265,-4.0004,0.000000,0.00,0.00
4,COUNT_DOWN,6.473057,647.459856,355.07,0.000000000,0.000821150,4.0005,0.024417,-4.0005,-4.0005,-4.0005,4.3192,6.474626,648.476694,-4.0005,0.000000,0.00,0.00
5,COUNT_DOWN,6.446887,630.736064,355.05,0.000000000,0.000812974,4.0006,0.026328,-4.0006,-4.0006,-4.0006,4.3191,6.401868,602.970542,-4.0006,0.000000,0.00,0.00
6,COUNT_DOWN,6.473298,647.615785,355.07,0.000000000,0.000810302,4.0007,0.031658,-4.0007,-4.0007,-4.0007,4.3191,6.466382,643.152604,-4.0007,0.000000,0.00,0.00
7,COUNT_DOWN,6.492245,660.003539,355.05,0.000000000,0.000808246,4.0008,0.032907,-4.0008,-4.0008,-4.0008,4.3191,6.461928,640.294285,-4.0008,0.000000,0.00,0.00
8,COUNT_DOWN,6.482326,653.489216,355.08,0.000000000,0.000812634,4.0009,0.031646,-4.0009,-4.0009,-4.0009,4.3191,6.452385,634.213056,-4.0009,0.000000,0.00,0.00
9,COUNT_DOWN,6.470424,645.757275,354.87,0.000000000,0.000810359,4.0010,0.031338,-4.0010,-4.0010,-4.0010,4.3191,6.440438,626.681097,-4.0010,0.000000,0.00,0.00
