Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_UP,6.434996,623.280170,287.84,0.000000000,0.000000000,0.0000,0.536700,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
1,COUNT_UP,6.321765,556.554415,293.36,0.000000000,0.000000000,0.0000,0.516324,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
2,COUNT_UP,6.217978,501.688033,293.66,0.000000000,0.000000000,0.0000,0.510967,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
3,COUNT_UP,6.141719,464.852124,293.68,0.000000000,0.000000000,0.0000,0.497433,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
4,COUNT_UP,6.053608,425.645968,293.66,0.000000000,0.000000000,0.0000,0.513874,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
5,COUNT_UP,5.991916,400.180694,293.68,0.000000000,0.000000000,0.0000,0.518519,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
6,COUNT_UP,5.857513,349.852960,293.66,0.000000000,0.000000000,0.0000,0.501104,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
7,COUNT_UP,5.775098,322.175957,293.68,0.000000000,0.000000000,0.0000,0.491017,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
8,COUNT_UP,5.713939,303.062541,293.66,0.000000000,0.000000000,0.0000,0.495913,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
9,COUNT_UP,5.593956,268.797006,293.68,0.000000000,0.000000000,0.0000,0.524040,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
10,COUNT_UP,5.521621,250.039961,293.67,0.000000000,0.000000000,0.0000,0.518082,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
11,COUNT_UP,5.397948,220.952615,293.68,0.000000000,0.000000000,0.0000,0.521540,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
12,COUNT_UP,5.346011,209.769889,293.67,0.000000000,0.000000000,0.0000,0.536616,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
13,COUNT_UP,5.205205,182.218304,293.68,0.000000000,0.000000000,0.0000,0.532364,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
14,COUNT_UP,5.121170,167.531194,293.67,0.000000000,0.000000000,0.0000,0.498878,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
15,COUNT_UP,5.031111,153.103052,293.68,0.000000000,0.000000000,0.0000,0.564833,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
16,COUNT_UP,4.967875,143.721156,293.67,0.000000000,0.000000000,0.0000,0.537636,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
17,COUNT_UP,4.881411,131.816473,293.68,0.000000000,0.000000000,0.0000,0.546645,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
18,COUNT_UP,4.723121,112.518842,293.67,0.000000000,0.000000000,0.0000,0.589817,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
19,COUNT_UP,4.630912,102.607631,293.68,0.000000000,0.000000000,0.0000,0.614392,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
20,COUNT_UP,4.596876,99.174026,293.67,0.000000000,0.000000000,0.0000,0.544613,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
21,COUNT_UP,4.462777,86.728031,293.69,0.000000000,0.000000000,0.0000,0.586518,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
22,COUNT_UP,4.315836,74.876190,293.67,0.000000000,0.000000000,0.0000,0.606206,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
23,COUNT_UP,4.282306,72.407198,293.69,0.000000000,0.000000000,0.0000,0.626506,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
24,COUNT_UP,4.104812,60.631325,293.67,0.000000000,0.000000000,0.0000,0.645632,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
25,COUNT_UP,3.969558,52.961092,293.69,0.000000000,0.000000000,0.0000,0.625314,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
26,COUNT_UP,3.983253,53.691383,293.67,0.000000000,0.000000000,0.0000,0.656968,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
27,COUNT_UP,3.771441,43.442630,293.69,0.000000000,0.000000000,0.0000,0.676448,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
28,COUNT_UP,3.605133,36.786587,293.67,0.000000000,0.000000000,0.0000,0.654213,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
29,COUNT_UP,3.529780,34.116450,293.69,0.000000000,0.000000000,0.0000,0.718946,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
30,COUNT_UP,3.310284,27.392908,293.67,0.000000000,0.000000000,0.0000,0.676989,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
31,COUNT_UP,3.152358,23.391157,293.69,0.000000000,0.000000000,0.0000,0.702930,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
32,COUNT_UP,3.055952,21.241399,293.67,0.000000000,0.000000000,0.0000,0.700188,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
33,COUNT_UP,3.018326,20.457024,293.69,0.000000000,0.000000000,0.0000,0.762517,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
34,COUNT_UP,2.784311,16.188657,293.67,0.000000000,0.000000000,0.0000,0.708322,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
35,COUNT_UP,2.735850,15.422841,293.69,0.000000000,0.000000000,0.0000,0.689802,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
36,COUNT_UP,2.484485,11.994943,293.67,0.000000000,0.000000000,0.0000,0.808274,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
37,COUNT_UP,2.387207,10.883053,293.69,0.000000000,0.000000000,0.0000,0.742491,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
38,COUNT_UP,2.120935,8.338928,293.67,0.000000000,0.000000000,0.0000,0.679049,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
39,COUNT_UP,2.084914,8.043899,293.69,0.000000000,0.000000000,0.0000,0.766360,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
40,COUNT_UP,1.858600,6.414752,293.67,0.000000000,0.000000000,0.0000,0.760609,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
41,COUNT_UP,1.788387,5.979800,293.69,0.000000000,0.000000000,0.0000,0.714352,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
42,COUNT_UP,1.574149,4.826633,293.67,0.000000000,0.000000000,0.0000,0.739895,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
43,COUNT_UP,1.464073,4.323535,293.69,0.000000000,0.000000000,0.0000,0.716507,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
44,COUNT_UP,1.262597,3.534590,293.67,0.000000000,0.000000000,0.0000,0.726078,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
45,COUNT_UP,1.198556,3.315325,293.69,0.000000000,0.000000000,0.0000,0.625102,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
46,COUNT_UP,0.937239,2.552923,293.67,0.000000000,0.000000000,0.0000,0.657815,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
47,COUNT_UP,0.878793,2.407991,293.69,0.000000000,0.000000000,0.0000,0.659974,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
48,COUNT_UP,0.859592,2.362196,293.67,0.000000000,0.000000000,0.0000,0.590615,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
49,COUNT_UP,0.654468,1.924119,293.69,0.000000000,0.000000000,0.0000,0.629739,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
50,COUNT_UP,0.554549,1.741156,293.67,0.000000000,0.000000000,0.0000,0.510242,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
51,COUNT_UP,0.481683,1.618797,293.69,0.000000000,0.000000000,0.0000,0.456129,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
52,COUNT_UP,0.398607,1.489748,293.67,0.000000000,0.000000000,0.0000,0.401063,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
53,COUNT_UP,0.573766,1.774939,293.69,0.000000000,0.000000000,0.0000,0.594165,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
54,COUNT_UP,0.369820,1.447474,293.67,0.000000000,0.000000000,0.0000,0.353917,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
55,COUNT_UP,0.252566,1.287324,293.69,0.000000000,0.000000000,0.0000,0.314957,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
56,COUNT_UP,0.215159,1.240059,293.67,0.000000000,0.000000000,0.0000,0.310525,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
57,COUNT_UP,0.181985,1.199596,293.69,0.000000000,0.000000000,0.0000,0.262827,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
58,COUNT_UP,0.135133,1.144689,293.67,0.000000000,0.000000000,0.0000,0.212095,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
59,COUNT_UP,0.138245,1.148256,293.69,0.000000000,0.000000000,0.0000,0.218906,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
60,COUNT_UP,0.141751,1.152290,293.67,0.000000000,0.000000000,0.0000,0.201201,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
61,COUNT_UP,0.132282,1.141430,293.69,0.000000000,0.000000000,0.0000,0.175424,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
62,COUNT_UP,0.132112,1.141236,293.67,0.000000000,0.000000000,0.0000,0.191620,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
63,COUNT_UP,0.063253,1.065297,293.69,0.000000000,0.000000000,0.0000,0.101359,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
64,COUNT_UP,0.057525,1.059212,293.67,0.000000000,0.000000000,0.0000,0.108883,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
65,COUNT_UP,0.116112,1.123122,293.69,0.000000000,0.000000000,0.0000,0.211245,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
66,COUNT_UP,0.043458,1.044416,293.67,0.000000000,0.000000000,0.0000,0.078705,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
67,COUNT_UP,0.052505,1.053908,293.69,0.000000000,0.000000000,0.0000,0.100202,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
68,COUNT_UP,0.041273,1.042137,293.67,0.000000000,0.000000000,0.0000,0.090783,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
69,COUNT_UP,0.050849,1.052164,293.69,0.000000000,0.000000000,0.0000,0.105478,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
70,COUNT_UP,0.041856,1.042744,293.67,0.000000000,0.000000000,0.0000,0.097883,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
