Timestamp,Step,Event,Details
2025-12-14T01:13:15.776174,0,CREATED,"{""code_version"": ""V 0.2.7""}"
2025-12-14T01:13:15.779339,0,CREATED,"{""d_model"": 64, ""n_layer"": 2, ""n_head"": 4, ""vocab_size"": 500, ""total_params"": 172160, ""frozen_params"": 0, ""active_params"": 130304}"
2025-12-14T01:13:39.979302,499,TRAINED,"{""task"": ""COUNT_UP"", ""steps_trained"": 500, ""start_step"": 0, ""end_step"": 499, ""final_loss"": 0.0006745311548002064, ""final_ppl"": 1.0006747587020992, ""duration_sec"": 24.197721004486084}"
2025-12-14T01:15:52.763682,999,TRAINED,"{""task"": ""COUNT_DOWN"", ""steps_trained"": 500, ""start_step"": 500, ""end_step"": 999, ""final_loss"": 0.3415921926498413, ""final_ppl"": 1.4071863195616834, ""duration_sec"": 132.70626020431519}"
2025-12-14T01:15:52.810897,500,SAVED,"{""path"": ""C:\\Users\\Sven\\Documents\\DGE\\Implementation\\models\\dge_exp_20251214_011315"", ""snapshot"": ""dge_exp_v3_h3_ortho""}"
