Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
0,COUNT_UP,6.358892,577.606269,288.05,0.000000000,0.000000000,0.0000,0.568108,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
1,COUNT_UP,6.283190,535.494047,293.57,0.000000000,0.000000000,0.0000,0.531215,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
2,COUNT_UP,6.201389,493.434099,293.87,0.000000000,0.000000000,0.0000,0.543210,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
3,COUNT_UP,6.108152,449.507433,293.89,0.000000000,0.000000000,0.0000,0.482851,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
4,COUNT_UP,6.015131,409.579294,293.87,0.000000000,0.000000000,0.0000,0.514907,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
5,COUNT_UP,5.916154,370.982312,293.89,0.000000000,0.000000000,0.0000,0.488055,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
6,COUNT_UP,5.858335,350.140681,293.88,0.000000000,0.000000000,0.0000,0.524991,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
7,COUNT_UP,5.780361,323.875991,293.89,0.000000000,0.000000000,0.0000,0.545519,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
8,COUNT_UP,5.649796,284.233614,293.88,0.000000000,0.000000000,0.0000,0.534883,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
9,COUNT_UP,5.565890,261.357666,293.89,0.000000000,0.000000000,0.0000,0.502022,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
10,COUNT_UP,5.495116,243.499827,293.88,0.000000000,0.000000000,0.0000,0.495701,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
11,COUNT_UP,5.384791,218.064605,293.89,0.000000000,0.000000000,0.0000,0.536055,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
12,COUNT_UP,5.313012,202.960554,293.88,0.000000000,0.000000000,0.0000,0.547143,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
13,COUNT_UP,5.257627,192.025368,293.89,0.000000000,0.000000000,0.0000,0.550782,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
14,COUNT_UP,5.137324,170.259519,293.88,0.000000000,0.000000000,0.0000,0.547340,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
15,COUNT_UP,5.056244,156.999775,293.89,0.000000000,0.000000000,0.0000,0.558311,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
16,COUNT_UP,4.933588,138.876847,293.88,0.000000000,0.000000000,0.0000,0.572220,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
17,COUNT_UP,4.842156,126.742366,293.89,0.000000000,0.000000000,0.0000,0.543765,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
18,COUNT_UP,4.790069,120.309625,293.88,0.000000000,0.000000000,0.0000,0.562065,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
19,COUNT_UP,4.707780,110.805885,293.89,0.000000000,0.000000000,0.0000,0.551404,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
20,COUNT_UP,4.622826,101.781270,293.88,0.000000000,0.000000000,0.0000,0.593124,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
21,COUNT_UP,4.450933,85.706869,293.90,0.000000000,0.000000000,0.0000,0.575180,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
22,COUNT_UP,4.369112,78.973473,293.88,0.000000000,0.000000000,0.0000,0.580502,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
23,COUNT_UP,4.201147,66.762838,293.90,0.000000000,0.000000000,0.0000,0.588177,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
24,COUNT_UP,4.107282,60.781270,293.88,0.000000000,0.000000000,0.0000,0.636186,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
25,COUNT_UP,4.002748,54.748393,293.90,0.000000000,0.000000000,0.0000,0.629527,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
26,COUNT_UP,3.961023,52.511010,293.88,0.000000000,0.000000000,0.0000,0.643497,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
27,COUNT_UP,3.788170,44.175479,293.90,0.000000000,0.000000000,0.0000,0.637217,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
28,COUNT_UP,3.742157,42.188883,293.88,0.000000000,0.000000000,0.0000,0.642814,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
29,COUNT_UP,3.520531,33.802387,293.90,0.000000000,0.000000000,0.0000,0.649441,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
30,COUNT_UP,3.301191,27.144958,293.88,0.000000000,0.000000000,0.0000,0.712612,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
31,COUNT_UP,3.228306,25.236871,293.90,0.000000000,0.000000000,0.0000,0.731848,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
32,COUNT_UP,3.133147,22.946077,293.88,0.000000000,0.000000000,0.0000,0.706155,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
33,COUNT_UP,2.948664,19.080444,293.90,0.000000000,0.000000000,0.0000,0.737082,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
34,COUNT_UP,2.802199,16.480846,293.88,0.000000000,0.000000000,0.0000,0.724519,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
35,COUNT_UP,2.652414,14.188246,293.90,0.000000000,0.000000000,0.0000,0.737231,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
36,COUNT_UP,2.542332,12.709280,293.88,0.000000000,0.000000000,0.0000,0.734275,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
37,COUNT_UP,2.451792,11.609132,293.90,0.000000000,0.000000000,0.0000,0.773870,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
38,COUNT_UP,2.221780,9.223737,293.88,0.000000000,0.000000000,0.0000,0.732340,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
39,COUNT_UP,2.034561,7.648893,293.90,0.000000000,0.000000000,0.0000,0.761232,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
