Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
32,COUNT_UP,3.154336,23.437474,294.06,0.000000000,0.000000000,0.0000,0.674771,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
33,COUNT_UP,2.987891,19.843787,294.08,0.000000000,0.000000000,0.0000,0.727684,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
34,COUNT_UP,2.778625,16.096877,294.06,0.000000000,0.000000000,0.0000,0.752993,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
35,COUNT_UP,2.628064,13.846932,294.08,0.000000000,0.000000000,0.0000,0.731781,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
36,COUNT_UP,2.488969,12.048848,294.06,0.000000000,0.000000000,0.0000,0.735160,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
37,COUNT_UP,2.297707,9.951334,294.08,0.000000000,0.000000000,0.0000,0.708925,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
38,COUNT_UP,2.276723,9.744696,294.06,0.000000000,0.000000000,0.0000,0.705469,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
39,COUNT_UP,2.091423,8.096430,294.08,0.000000000,0.000000000,0.0000,0.703176,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
40,COUNT_UP,1.892295,6.634580,294.06,0.000000000,0.000000000,0.0000,0.707995,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
41,COUNT_UP,1.791811,6.000307,294.08,0.000000000,0.000000000,0.0000,0.713029,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
42,COUNT_UP,1.697791,5.461867,294.06,0.000000000,0.000000000,0.0000,0.738527,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
43,COUNT_UP,1.541834,4.673152,294.08,0.000000000,0.000000000,0.0000,0.700756,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
44,COUNT_UP,1.297855,3.661435,294.06,0.000000000,0.000000000,0.0000,0.740663,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
45,COUNT_UP,1.301184,3.673643,294.08,0.000000000,0.000000000,0.0000,0.729395,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
46,COUNT_UP,0.981580,2.668670,294.06,0.000000000,0.000000000,0.0000,0.580701,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
47,COUNT_UP,0.948361,2.581474,294.08,0.000000000,0.000000000,0.0000,0.683687,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
48,COUNT_UP,0.879363,2.409364,294.06,0.000000000,0.000000000,0.0000,0.571091,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
49,COUNT_UP,0.726736,2.068318,294.08,0.000000000,0.000000000,0.0000,0.628929,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
50,COUNT_UP,0.686220,1.986193,294.06,0.000000000,0.000000000,0.0000,0.479899,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
51,COUNT_UP,0.719712,2.053841,294.08,0.000000000,0.000000000,0.0000,0.515555,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
52,COUNT_UP,0.435021,1.544996,294.06,0.000000000,0.000000000,0.0000,0.423981,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
53,COUNT_UP,0.357009,1.429049,294.08,0.000000000,0.000000000,0.0000,0.399024,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
54,COUNT_UP,0.338373,1.402664,294.06,0.000000000,0.000000000,0.0000,0.350229,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
55,COUNT_UP,0.358847,1.431677,294.08,0.000000000,0.000000000,0.0000,0.423231,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
56,COUNT_UP,0.320183,1.377379,294.06,0.000000000,0.000000000,0.0000,0.355220,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
57,COUNT_UP,0.344023,1.410611,294.08,0.000000000,0.000000000,0.0000,0.414849,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
